timestamp,pair_idx,source,target,n_vertices,k_eigen,eigen_seed,note_k,note_residual,geo_hst,t_hst,geo_zoom_rand,t_zoom_rand,geo_zoom_hst,t_zoom_hst,improvement_pct,winner,status
2026-05-06 18:32:00,28,tr_reg_028.ply,tr_reg_029.ply,6890,50,42,1,0.000132,0.121957,0.881,0.305250,6.999,0.075466,7.810,75.28,HST+ZoomOut,OK
2026-05-06 18:32:00,29,tr_reg_029.ply,tr_reg_030.ply,6890,50,42,1,0.000119,0.176682,0.908,0.301223,7.258,0.243160,7.995,19.28,HST Note,OK
2026-05-06 18:32:00,30,tr_reg_030.ply,tr_reg_031.ply,6890,50,42,1,0.000088,0.094106,0.803,0.316942,7.317,0.056081,7.973,82.31,HST+ZoomOut,OK
2026-05-06 18:32:00,31,tr_reg_031.ply,tr_reg_032.ply,6890,50,42,1,0.000090,0.111978,0.882,0.330753,7.156,0.051528,7.861,84.42,HST+ZoomOut,OK
2026-05-06 18:32:00,32,tr_reg_032.ply,tr_reg_033.ply,6890,50,42,1,0.000088,0.090938,0.880,0.329027,7.204,0.119141,7.817,63.79,HST Note,OK
2026-05-06 18:32:00,33,tr_reg_033.ply,tr_reg_034.ply,6890,50,42,1,0.000154,0.159780,0.981,0.526621,7.045,0.126891,7.902,75.90,HST+ZoomOut,OK
2026-05-06 18:32:00,34,tr_reg_034.ply,tr_reg_035.ply,6890,50,42,1,0.000096,0.159255,0.940,0.369374,6.941,0.227865,7.828,38.31,HST Note,OK
2026-05-06 18:32:00,35,tr_reg_035.ply,tr_reg_036.ply,6890,50,42,1,0.000128,0.084033,0.858,0.294067,6.858,0.088102,7.562,70.04,HST Note,OK
2026-05-06 18:32:00,36,tr_reg_036.ply,tr_reg_037.ply,6890,50,42,1,0.000097,0.105498,0.738,0.244994,6.824,0.118933,7.641,51.45,HST Note,OK
2026-05-06 18:32:00,37,tr_reg_037.ply,tr_reg_038.ply,6890,50,42,1,0.000131,0.152580,0.733,0.567328,6.822,0.264248,7.616,53.42,HST Note,OK
2026-05-06 18:32:00,38,tr_reg_038.ply,tr_reg_039.ply,6890,50,42,1,0.000102,0.126776,0.875,0.672665,6.832,0.158372,7.722,76.46,HST Note,OK
2026-05-06 18:32:00,39,tr_reg_039.ply,tr_reg_040.ply,6890,50,42,1,0.000133,0.161637,0.933,0.343026,6.698,0.306199,7.541,10.74,HST Note,OK
2026-05-06 18:32:00,40,tr_reg_040.ply,tr_reg_041.ply,6890,50,42,1,0.000115,0.109487,0.885,0.252162,6.773,0.093687,7.517,62.85,HST+ZoomOut,OK
2026-05-06 18:32:00,41,tr_reg_041.ply,tr_reg_042.ply,6890,50,42,1,0.000116,0.103709,0.985,0.268602,6.633,0.065829,7.604,75.49,HST+ZoomOut,OK
2026-05-06 18:32:00,42,tr_reg_042.ply,tr_reg_043.ply,6890,50,42,1,0.000118,0.104484,0.871,0.534052,6.644,0.062567,7.574,88.28,HST+ZoomOut,OK
2026-05-06 18:32:00,43,tr_reg_043.ply,tr_reg_044.ply,6890,50,42,1,0.000169,0.160168,0.733,0.341250,6.716,0.378572,7.479,-10.94,HST Note,OK
2026-05-06 18:32:00,44,tr_reg_044.ply,tr_reg_045.ply,6890,50,42,1,0.000140,0.100625,0.977,0.393421,6.768,0.049790,7.834,87.34,HST+ZoomOut,OK
